A24x8
-----
References
^^^^^^^^^^
| V Fishman, E Semidalas, M Shepelenko, JML Martin, Journal of Computational Chemistry 46 (1), e70006: https://doi.org/10.1002/jcc.70007

Molecules
^^^^^^^^^
01-water_ammonia_0@90re, energy = 0.009253216840015455
| 10-water_ethene_2.00re: 10-water_ethene_monomerA + 10-water_ethene_monomerB -> 10-water_ethene_2@00re (10-water_ethene_2.00re), energy = 0.00046491048099994714
| 11-formaldehyde_ethene_0.90re: 11-formaldehyde_ethene_monomerA + 11-formaldehyde_ethene_monomerB -> 11-formaldehyde_ethene_0@90re (11-formaldehyde_ethene_0.90re), energy = 0.0019465762790105148
| 11-formaldehyde_ethene_0.95re: 11-formaldehyde_ethene_monomerA + 11-formaldehyde_ethene_monomerB -> 11-formaldehyde_ethene_0@95re (11-formaldehyde_ethene_0.95re), energy = 0.002459240453987377
| 11-formaldehyde_ethene_1.00re: 11-formaldehyde_ethene_monomerA + 11-formaldehyde_ethene_monomerB -> 11-formaldehyde_ethene_1@00re (11-formaldehyde_ethene_1.00re), energy = 0.0025898569199966914
| 11-formaldehyde_ethene_1.05re: 11-formaldehyde_ethene_monomerA + 11-formaldehyde_ethene_monomerB -> 11-formaldehyde_ethene_1@05re (11-formaldehyde_ethene_1.05re), energy = 0.002504226703990753
| 11-formaldehyde_ethene_1.10re: 11-formaldehyde_ethene_monomerA + 11-formaldehyde_ethene_monomerB -> 11-formaldehyde_ethene_1@10re (11-formaldehyde_ethene_1.10re), energy = 0.0023072026939985335
| 11-formaldehyde_ethene_1.25re: 11-formaldehyde_ethene_monomerA + 11-formaldehyde_ethene_monomerB -> 11-formaldehyde_ethene_1@25re (11-formaldehyde_ethene_1.25re), energy = 0.0015655937639849071
| 11-formaldehyde_ethene_1.50re: 11-formaldehyde_ethene_monomerA + 11-formaldehyde_ethene_monomerB -> 11-formaldehyde_ethene_1@50re (11-formaldehyde_ethene_1.50re), energy = 0.0007004389649978293
| 11-formaldehyde_ethene_2.00re: 11-formaldehyde_ethene_monomerA + 11-formaldehyde_ethene_monomerB -> 11-formaldehyde_ethene_2@00re (11-formaldehyde_ethene_2.00re), energy = 0.0001401326549910209
| 12-ethyne_ethyne_0.90re: 12-ethyne_ethyne_monomerA + 12-ethyne_ethyne_monomerB -> 12-ethyne_ethyne_0@90re (12-ethyne_ethyne_0.90re), energy = 0.0019068407230093953
| 12-ethyne_ethyne_0.95re: 12-ethyne_ethyne_monomerA + 12-ethyne_ethyne_monomerB -> 12-ethyne_ethyne_0@95re (12-ethyne_ethyne_0.95re), energy = 0.0023261477300167144
| 12-ethyne_ethyne_1.00re: 12-ethyne_ethyne_monomerA + 12-ethyne_ethyne_monomerB -> 12-ethyne_ethyne_1@00re (12-ethyne_ethyne_1.00re), energy = 0.0024339993619975075
| 12-ethyne_ethyne_1.05re: 12-ethyne_ethyne_monomerA + 12-ethyne_ethyne_monomerB -> 12-ethyne_ethyne_1@05re (12-ethyne_ethyne_1.05re), energy = 0.002363989632996777
| 12-ethyne_ethyne_1.10re: 12-ethyne_ethyne_monomerA + 12-ethyne_ethyne_monomerB -> 12-ethyne_ethyne_1@10re (12-ethyne_ethyne_1.10re), energy = 0.0022015085780111576
| 12-ethyne_ethyne_1.25re: 12-ethyne_ethyne_monomerA + 12-ethyne_ethyne_monomerB -> 12-ethyne_ethyne_1@25re (12-ethyne_ethyne_1.25re), energy = 0.001575099810011693
| 12-ethyne_ethyne_1.50re: 12-ethyne_ethyne_monomerA + 12-ethyne_ethyne_monomerB -> 12-ethyne_ethyne_1@50re (12-ethyne_ethyne_1.50re), energy = 0.0008072230350109066
| 12-ethyne_ethyne_2.00re: 12-ethyne_ethyne_monomerA + 12-ethyne_ethyne_monomerB -> 12-ethyne_ethyne_2@00re (12-ethyne_ethyne_2.00re), energy = 0.00024301089901257455
| 13-ammonia_ethene_0.90re: 13-ammonia_ethene_monomerA + 13-ammonia_ethene_monomerB -> 13-ammonia_ethene_0@90re (13-ammonia_ethene_0.90re), energy = 0.0017280233249863386
| 13-ammonia_ethene_0.95re: 13-ammonia_ethene_monomerA + 13-ammonia_ethene_monomerB -> 13-ammonia_ethene_0@95re (13-ammonia_ethene_0.95re), energy = 0.0020992560399832882
| 13-ammonia_ethene_1.00re: 13-ammonia_ethene_monomerA + 13-ammonia_ethene_monomerB -> 13-ammonia_ethene_1@00re (13-ammonia_ethene_1.00re), energy = 0.00219569293899724
| 13-ammonia_ethene_1.05re: 13-ammonia_ethene_monomerA + 13-ammonia_ethene_monomerB -> 13-ammonia_ethene_1@05re (13-ammonia_ethene_1.05re), energy = 0.0021373358570002665
| 13-ammonia_ethene_1.10re: 13-ammonia_ethene_monomerA + 13-ammonia_ethene_monomerB -> 13-ammonia_ethene_1@10re (13-ammonia_ethene_1.10re), energy = 0.001985642733004056
| 13-ammonia_ethene_1.25re: 13-ammonia_ethene_monomerA + 13-ammonia_ethene_monomerB -> 13-ammonia_ethene_1@25re (13-ammonia_ethene_1.25re), energy = 0.0014085581419891469
| 13-ammonia_ethene_1.50re: 13-ammonia_ethene_monomerA + 13-ammonia_ethene_monomerB -> 13-ammonia_ethene_1@50re (13-ammonia_ethene_1.50re), energy = 0.0006937625409904058
| 13-ammonia_ethene_2.00re: 13-ammonia_ethene_monomerA + 13-ammonia_ethene_monomerB -> 13-ammonia_ethene_2@00re (13-ammonia_ethene_2.00re), energy = 0.00018115817100294862
| 14-ethene_ethene_0.90re: 14-ethene_ethene_monomerA + 14-ethene_ethene_monomerB -> 14-ethene_ethene_0@90re (14-ethene_ethene_0.90re), energy = 0.0007657091650088432
| 14-ethene_ethene_0.95re: 14-ethene_ethene_monomerA + 14-ethene_ethene_monomerB -> 14-ethene_ethene_0@95re (14-ethene_ethene_0.95re), energy = 0.0015535413670164644
| 14-ethene_ethene_1.00re: 14-ethene_ethene_monomerA + 14-ethene_ethene_monomerB -> 14-ethene_ethene_1@00re (14-ethene_ethene_1.00re), energy = 0.0017435788290214302
| 14-ethene_ethene_1.05re: 14-ethene_ethene_monomerA + 14-ethene_ethene_monomerB -> 14-ethene_ethene_1@05re (14-ethene_ethene_1.05re), energy = 0.0016538977080102766
| 14-ethene_ethene_1.10re: 14-ethene_ethene_monomerA + 14-ethene_ethene_monomerB -> 14-ethene_ethene_1@10re (14-ethene_ethene_1.10re), energy = 0.0014553067360196792
| 14-ethene_ethene_1.25re: 14-ethene_ethene_monomerA + 14-ethene_ethene_monomerB -> 14-ethene_ethene_1@25re (14-ethene_ethene_1.25re), energy = 0.0008318224169983067
| 14-ethene_ethene_1.50re: 14-ethene_ethene_monomerA + 14-ethene_ethene_monomerB -> 14-ethene_ethene_1@50re (14-ethene_ethene_1.50re), energy = 0.00030162065500860535
| 14-ethene_ethene_2.00re: 14-ethene_ethene_monomerA + 14-ethene_ethene_monomerB -> 14-ethene_ethene_2@00re (14-ethene_ethene_2.00re), energy = 5.756251501054521e-05
| 15-methane_ethene_0.90re: 15-methane_ethene_monomerA + 15-methane_ethene_monomerB -> 15-methane_ethene_0@90re (15-methane_ethene_0.90re), energy = 0.0005582391609948445
| 15-methane_ethene_0.95re: 15-methane_ethene_monomerA + 15-methane_ethene_monomerB -> 15-methane_ethene_0@95re (15-methane_ethene_0.95re), energy = 0.0007475573169983818
| 15-methane_ethene_1.00re: 15-methane_ethene_monomerA + 15-methane_ethene_monomerB -> 15-methane_ethene_1@00re (15-methane_ethene_1.00re), energy = 0.0008031658839939838
| 15-methane_ethene_1.05re: 15-methane_ethene_monomerA + 15-methane_ethene_monomerB -> 15-methane_ethene_1@05re (15-methane_ethene_1.05re), energy = 0.0007778453120010909
| 15-methane_ethene_1.10re: 15-methane_ethene_monomerA + 15-methane_ethene_monomerB -> 15-methane_ethene_1@10re (15-methane_ethene_1.10re), energy = 0.0007141663219982775
| 15-methane_ethene_1.25re: 15-methane_ethene_monomerA + 15-methane_ethene_monomerB -> 15-methane_ethene_1@25re (15-methane_ethene_1.25re), energy = 0.0004765515510030127
| 15-methane_ethene_1.50re: 15-methane_ethene_monomerA + 15-methane_ethene_monomerB -> 15-methane_ethene_1@50re (15-methane_ethene_1.50re), energy = 0.0002113533460033068
| 15-methane_ethene_2.00re: 15-methane_ethene_monomerA + 15-methane_ethene_monomerB -> 15-methane_ethene_2@00re (15-methane_ethene_2.00re), energy = 4.752249499517802e-05
| 16-borane_methane_0.90re: 16-borane_methane_monomerA + 16-borane_methane_monomerB -> 16-borane_methane_0@90re (16-borane_methane_0.90re), energy = 0.0014430798149902557
| 16-borane_methane_0.95re: 16-borane_methane_monomerA + 16-borane_methane_monomerB -> 16-borane_methane_0@95re (16-borane_methane_0.95re), energy = 0.0021797594439902923
| 16-borane_methane_1.00re: 16-borane_methane_monomerA + 16-borane_methane_monomerB -> 16-borane_methane_1@00re (16-borane_methane_1.00re), energy = 0.0023592990589946794
| 16-borane_methane_1.05re: 16-borane_methane_monomerA + 16-borane_methane_monomerB -> 16-borane_methane_1@05re (16-borane_methane_1.05re), energy = 0.0022497895189985684
| 16-borane_methane_1.10re: 16-borane_methane_monomerA + 16-borane_methane_monomerB -> 16-borane_methane_1@10re (16-borane_methane_1.10re), energy = 0.0020091886370039447
| 16-borane_methane_1.25re: 16-borane_methane_monomerA + 16-borane_methane_monomerB -> 16-borane_methane_1@25re (16-borane_methane_1.25re), energy = 0.0011979077049915077
| 16-borane_methane_1.50re: 16-borane_methane_monomerA + 16-borane_methane_monomerB -> 16-borane_methane_1@50re (16-borane_methane_1.50re), energy = 0.0004350811889963779
| 16-borane_methane_2.00re: 16-borane_methane_monomerA + 16-borane_methane_monomerB -> 16-borane_methane_2@00re (16-borane_methane_2.00re), energy = 7.411926499401034e-05
| 17-methane_ethane_0.90re: 17-methane_ethane_monomerA + 17-methane_ethane_monomerB -> 17-methane_ethane_0@90re (17-methane_ethane_0.90re), energy = 0.0005280124089921401
| 17-methane_ethane_0.95re: 17-methane_ethane_monomerA + 17-methane_ethane_monomerB -> 17-methane_ethane_0@95re (17-methane_ethane_0.95re), energy = 0.0011673652600023843
| 17-methane_ethane_1.00re: 17-methane_ethane_monomerA + 17-methane_ethane_monomerB -> 17-methane_ethane_1@00re (17-methane_ethane_1.00re), energy = 0.0013138769080001111
| 17-methane_ethane_1.05re: 17-methane_ethane_monomerA + 17-methane_ethane_monomerB -> 17-methane_ethane_1@05re (17-methane_ethane_1.05re), energy = 0.0012369605479989332
| 17-methane_ethane_1.10re: 17-methane_ethane_monomerA + 17-methane_ethane_monomerB -> 17-methane_ethane_1@10re (17-methane_ethane_1.10re), energy = 0.0010754961270009744
| 17-methane_ethane_1.25re: 17-methane_ethane_monomerA + 17-methane_ethane_monomerB -> 17-methane_ethane_1@25re (17-methane_ethane_1.25re), energy = 0.0005906264389921034
| 17-methane_ethane_1.50re: 17-methane_ethane_monomerA + 17-methane_ethane_monomerB -> 17-methane_ethane_1@50re (17-methane_ethane_1.50re), energy = 0.0001991913609913354
| 17-methane_ethane_2.00re: 17-methane_ethane_monomerA + 17-methane_ethane_monomerB -> 17-methane_ethane_2@00re (17-methane_ethane_2.00re), energy = 3.286496300347608e-05
| 18-methane_ethane_0.90re: 18-methane_ethane_monomerA + 18-methane_ethane_monomerB -> 18-methane_ethane_0@90re (18-methane_ethane_0.90re), energy = 0.0003284336060005444
| 18-methane_ethane_0.95re: 18-methane_ethane_monomerA + 18-methane_ethane_monomerB -> 18-methane_ethane_0@95re (18-methane_ethane_0.95re), energy = 0.0008507348699993145
| 18-methane_ethane_1.00re: 18-methane_ethane_monomerA + 18-methane_ethane_monomerB -> 18-methane_ethane_1@00re (18-methane_ethane_1.00re), energy = 0.0009690266030020213
| 18-methane_ethane_1.05re: 18-methane_ethane_monomerA + 18-methane_ethane_monomerB -> 18-methane_ethane_1@05re (18-methane_ethane_1.05re), energy = 0.0009086772249986552
| 18-methane_ethane_1.10re: 18-methane_ethane_monomerA + 18-methane_ethane_monomerB -> 18-methane_ethane_1@10re (18-methane_ethane_1.10re), energy = 0.0007840935099920898
| 18-methane_ethane_1.25re: 18-methane_ethane_monomerA + 18-methane_ethane_monomerB -> 18-methane_ethane_1@25re (18-methane_ethane_1.25re), energy = 0.00042254756699833257
| 18-methane_ethane_1.50re: 18-methane_ethane_monomerA + 18-methane_ethane_monomerB -> 18-methane_ethane_1@50re (18-methane_ethane_1.50re), energy = 0.0001396384650007576
| 18-methane_ethane_2.00re: 18-methane_ethane_monomerA + 18-methane_ethane_monomerB -> 18-methane_ethane_2@00re (18-methane_ethane_2.00re), energy = 2.1832325003856567e-05
| 19-methane_methane_0.90re: 19-methane_methane_monomerA + 19-methane_methane_monomerB -> 19-methane_methane_0@90re (19-methane_methane_0.90re), energy = 0.000253700730006301
| 19-methane_methane_0.95re: 19-methane_methane_monomerA + 19-methane_methane_monomerB -> 19-methane_methane_0@95re (19-methane_methane_0.95re), energy = 0.0007308653510094132
| 19-methane_methane_1.00re: 19-methane_methane_monomerA + 19-methane_methane_monomerB -> 19-methane_methane_1@00re (19-methane_methane_1.00re), energy = 0.0008392826570045032
| 19-methane_methane_1.05re: 19-methane_methane_monomerA + 19-methane_methane_monomerB -> 19-methane_methane_1@05re (19-methane_methane_1.05re), energy = 0.0007874820409980998
| 19-methane_methane_1.10re: 19-methane_methane_monomerA + 19-methane_methane_monomerB -> 19-methane_methane_1@10re (19-methane_methane_1.10re), energy = 0.0006783353819983517
| 19-methane_methane_1.25re: 19-methane_methane_monomerA + 19-methane_methane_monomerB -> 19-methane_methane_1@25re (19-methane_methane_1.25re), energy = 0.00036068413900380847
| 19-methane_methane_1.50re: 19-methane_methane_monomerA + 19-methane_methane_monomerB -> 19-methane_methane_1@50re (19-methane_methane_1.50re), energy = 0.00011771084800926701
| 19-methane_methane_2.00re: 19-methane_methane_monomerA + 19-methane_methane_monomerB -> 19-methane_methane_2@00re (19-methane_methane_2.00re), energy = 1.8732611998473203e-05
| 20-ar_methane_0.90re: 20-ar_methane_monomerA + 20-ar_methane_monomerB -> 20-ar_methane_0@90re (20-ar_methane_0.90re), energy = 0.00020437258899619337
| 20-ar_methane_0.95re: 20-ar_methane_monomerA + 20-ar_methane_monomerB -> 20-ar_methane_0@95re (20-ar_methane_0.95re), energy = 0.0005830515800653302
| 20-ar_methane_1.00re: 20-ar_methane_monomerA + 20-ar_methane_monomerB -> 20-ar_methane_1@00re (20-ar_methane_1.00re), energy = 0.0006639203480744982
| 20-ar_methane_1.05re: 20-ar_methane_monomerA + 20-ar_methane_monomerB -> 20-ar_methane_1@05re (20-ar_methane_1.05re), energy = 0.0006190812140403068
| 20-ar_methane_1.10re: 20-ar_methane_monomerA + 20-ar_methane_monomerB -> 20-ar_methane_1@10re (20-ar_methane_1.10re), energy = 0.000531276976062145
| 20-ar_methane_1.25re: 20-ar_methane_monomerA + 20-ar_methane_monomerB -> 20-ar_methane_1@25re (20-ar_methane_1.25re), energy = 0.00028103397801260144
| 20-ar_methane_1.50re: 20-ar_methane_monomerA + 20-ar_methane_monomerB -> 20-ar_methane_1@50re (20-ar_methane_1.50re), energy = 9.0621368030952e-05
| 20-ar_methane_2.00re: 20-ar_methane_monomerA + 20-ar_methane_monomerB -> 20-ar_methane_2@00re (20-ar_methane_2.00re), energy = 1.5172142070696282e-05
| 21-ar_ethene_0.90re: 21-ar_ethene_monomerA + 21-ar_ethene_monomerB -> 21-ar_ethene_0@90re (21-ar_ethene_0.90re), energy = 0.0001957815370587923
| 21-ar_ethene_0.95re: 21-ar_ethene_monomerA + 21-ar_ethene_monomerB -> 21-ar_ethene_0@95re (21-ar_ethene_0.95re), energy = 0.0005128820130266831
| 21-ar_ethene_1.00re: 21-ar_ethene_monomerA + 21-ar_ethene_monomerB -> 21-ar_ethene_1@00re (21-ar_ethene_1.00re), energy = 0.0005904430420287099
| 21-ar_ethene_1.05re: 21-ar_ethene_monomerA + 21-ar_ethene_monomerB -> 21-ar_ethene_1@05re (21-ar_ethene_1.05re), energy = 0.000559897155994804
| 21-ar_ethene_1.10re: 21-ar_ethene_monomerA + 21-ar_ethene_monomerB -> 21-ar_ethene_1@10re (21-ar_ethene_1.10re), energy = 0.0004881852891003291
| 21-ar_ethene_1.25re: 21-ar_ethene_monomerA + 21-ar_ethene_monomerB -> 21-ar_ethene_1@25re (21-ar_ethene_1.25re), energy = 0.00026805728907675075
| 21-ar_ethene_1.50re: 21-ar_ethene_monomerA + 21-ar_ethene_monomerB -> 21-ar_ethene_1@50re (21-ar_ethene_1.50re), energy = 9.008683309730259e-05
| 21-ar_ethene_2.00re: 21-ar_ethene_monomerA + 21-ar_ethene_monomerB -> 21-ar_ethene_2@00re (21-ar_ethene_2.00re), energy = 1.505545503732719e-05
| 22-ethene_ethyne_0.90re: 22-ethene_ethyne_monomerA + 22-ethene_ethyne_monomerB -> 22-ethene_ethyne_0@90re (22-ethene_ethyne_0.90re), energy = -0.004926872588995934
| 22-ethene_ethyne_0.95re: 22-ethene_ethyne_monomerA + 22-ethene_ethyne_monomerB -> 22-ethene_ethyne_0@95re (22-ethene_ethyne_0.95re), energy = -0.0026172820640084637
| 22-ethene_ethyne_1.00re: 22-ethene_ethyne_monomerA + 22-ethene_ethyne_monomerB -> 22-ethene_ethyne_1@00re (22-ethene_ethyne_1.00re), energy = -0.0013051198740043901
| 22-ethene_ethyne_1.05re: 22-ethene_ethyne_monomerA + 22-ethene_ethyne_monomerB -> 22-ethene_ethyne_1@05re (22-ethene_ethyne_1.05re), energy = -0.0005829074859917682
| 22-ethene_ethyne_1.10re: 22-ethene_ethyne_monomerA + 22-ethene_ethyne_monomerB -> 22-ethene_ethyne_1@10re (22-ethene_ethyne_1.10re), energy = -0.00020326076101184753
| 22-ethene_ethyne_1.25re: 22-ethene_ethyne_monomerA + 22-ethene_ethyne_monomerB -> 22-ethene_ethyne_1@25re (22-ethene_ethyne_1.25re), energy = 8.304665500702413e-05
| 22-ethene_ethyne_1.50re: 22-ethene_ethyne_monomerA + 22-ethene_ethyne_monomerB -> 22-ethene_ethyne_1@50re (22-ethene_ethyne_1.50re), energy = 1.0436117989343074e-05
| 22-ethene_ethyne_2.00re: 22-ethene_ethyne_monomerA + 22-ethene_ethyne_monomerB -> 22-ethene_ethyne_2@00re (22-ethene_ethyne_2.00re), energy = -2.5624033000326563e-05
| 23-ethene_ethene_0.90re: 23-ethene_ethene_monomerA + 23-ethene_ethene_monomerB -> 23-ethene_ethene_0@90re (23-ethene_ethene_0.90re), energy = -0.005519993599989448
| 23-ethene_ethene_0.95re: 23-ethene_ethene_monomerA + 23-ethene_ethene_monomerB -> 23-ethene_ethene_0@95re (23-ethene_ethene_0.95re), energy = -0.0029557392250012526
| 23-ethene_ethene_1.00re: 23-ethene_ethene_monomerA + 23-ethene_ethene_monomerB -> 23-ethene_ethene_1@00re (23-ethene_ethene_1.00re), energy = -0.0014789544239874886
| 23-ethene_ethene_1.05re: 23-ethene_ethene_monomerA + 23-ethene_ethene_monomerB -> 23-ethene_ethene_1@05re (23-ethene_ethene_1.05re), energy = -0.000650176682000847
| 23-ethene_ethene_1.10re: 23-ethene_ethene_monomerA + 23-ethene_ethene_monomerB -> 23-ethene_ethene_1@10re (23-ethene_ethene_1.10re), energy = -0.00020688987498829192
| 23-ethene_ethene_1.25re: 23-ethene_ethene_monomerA + 23-ethene_ethene_monomerB -> 23-ethene_ethene_1@25re (23-ethene_ethene_1.25re), energy = 0.00014009085899147067
| 23-ethene_ethene_1.50re: 23-ethene_ethene_monomerA + 23-ethene_ethene_monomerB -> 23-ethene_ethene_1@50re (23-ethene_ethene_1.50re), energy = 4.694434198881936e-05
| 23-ethene_ethene_2.00re: 23-ethene_ethene_monomerA + 23-ethene_ethene_monomerB -> 23-ethene_ethene_2@00re (23-ethene_ethene_2.00re), energy = -1.91534099940327e-05
| 24-ethyne_ethyne_0.90re: 24-ethyne_ethyne_monomerA + 24-ethyne_ethyne_monomerB -> 24-ethyne_ethyne_0@90re (24-ethyne_ethyne_0.90re), energy = -0.00544205413601162
| 24-ethyne_ethyne_0.95re: 24-ethyne_ethyne_monomerA + 24-ethyne_ethyne_monomerB -> 24-ethyne_ethyne_0@95re (24-ethyne_ethyne_0.95re), energy = -0.003117800563018136
| 24-ethyne_ethyne_1.00re: 24-ethyne_ethyne_monomerA + 24-ethyne_ethyne_monomerB -> 24-ethyne_ethyne_1@00re (24-ethyne_ethyne_1.00re), energy = -0.001785554588991545
| 24-ethyne_ethyne_1.05re: 24-ethyne_ethyne_monomerA + 24-ethyne_ethyne_monomerB -> 24-ethyne_ethyne_1@05re (24-ethyne_ethyne_1.05re), energy = -0.0010351629649960614
| 24-ethyne_ethyne_1.10re: 24-ethyne_ethyne_monomerA + 24-ethyne_ethyne_monomerB -> 24-ethyne_ethyne_1@10re (24-ethyne_ethyne_1.10re), energy = -0.0006199347469930672
| 24-ethyne_ethyne_1.25re: 24-ethyne_ethyne_monomerA + 24-ethyne_ethyne_monomerB -> 24-ethyne_ethyne_1@25re (24-ethyne_ethyne_1.25re), energy = -0.00021332011101549145
| 24-ethyne_ethyne_1.50re: 24-ethyne_ethyne_monomerA + 24-ethyne_ethyne_monomerB -> 24-ethyne_ethyne_1@50re (24-ethyne_ethyne_1.50re), energy = -0.00013598050500718273
| 24-ethyne_ethyne_2.00re: 24-ethyne_ethyne_monomerA + 24-ethyne_ethyne_monomerB -> 24-ethyne_ethyne_2@00re (24-ethyne_ethyne_2.00re), energy = -6.444040201358803e-05

